Config,N,Tokenizer,TrainPPL,ValPPL,TestPPL,TestCE
1gram_char,1,char,15.1147,15.1269,15.1230,3.9187
2gram_char,2,char,8.3545,8.3745,8.3529,3.0623
3gram_char,3,char,5.8969,5.9284,5.9293,2.5679
4gram_char,4,char,4.4541,4.5257,4.5207,2.1765
5gram_char,5,char,3.9219,4.0501,4.0498,2.0179
1gram_word,1,word,620.9282,663.1618,664.6827,9.3765
2gram_word,2,word,1598.9442,2088.6950,2096.8872,11.0340
3gram_word,3,word,6019.9831,10070.7381,10104.8343,13.3028
4gram_word,4,word,8771.4216,16427.7362,16500.8918,14.0103
5gram_word,5,word,9649.8016,18696.3156,18744.2439,14.1942
