N,Method,PPL,CE
2,Stupid Backoff (α=0.70),8.3515,3.0620
2,Add-k (k=0.5),8.3526,3.0622
2,Add-k (k=0.1),8.3527,3.0622
2,Add-k (k=1.0),8.3528,3.0623
2,Add-k (k=0.01),8.3531,3.0623
2,Add-k (k=2.0),8.3533,3.0623
2,Linear Interpolation,8.5605,3.0977
3,Stupid Backoff (α=0.70),5.9154,2.5645
3,Add-k (k=0.1),5.9209,2.5658
3,Add-k (k=0.01),5.9222,2.5661
3,Add-k (k=0.5),5.9242,2.5666
3,Add-k (k=1.0),5.9293,2.5678
3,Add-k (k=2.0),5.9395,2.5703
3,Linear Interpolation,7.7641,2.9568
4,Stupid Backoff (α=0.70),4.4219,2.1447
4,Add-k (k=0.1),4.4490,2.1535
4,Add-k (k=0.01),4.4514,2.1543
4,Add-k (k=0.5),4.4812,2.1639
4,Add-k (k=1.0),4.5207,2.1765
4,Add-k (k=2.0),4.5916,2.1990
4,Linear Interpolation,5.9788,2.5799
5,Stupid Backoff (α=0.70),3.7060,1.8899
5,Add-k (k=0.1),3.8049,1.9279
5,Add-k (k=0.01),3.8103,1.9299
5,Add-k (k=0.5),3.9220,1.9716
5,Add-k (k=1.0),4.0498,2.0178
5,Add-k (k=2.0),4.2608,2.0911
5,Linear Interpolation,5.6975,2.5103
